Date,FPH,CPI,simple_rtn,inflation_rate,real_rtn,realized volatility
2020-12-31,324.8088129961994,454.8110816591874,0.13063036439401335,0.008466603951081897,0.1308998735594543,1.5140716138229005
2021-01-31,360.47260991648176,496.7512053332131,0.07673164703946622,0.011194029850746245,0.0775260795366565,0.9103645806950076
2021-02-28,319.4488965390239,460.32651455244246,0.023703819547250572,0.0009225092250921829,0.023695993186147114,0.2862203592248949
2021-03-31,344.6116038382921,518.9089708224362,0.12289172339749231,0.0027649769585252892,0.12293848826613919,1.4625089988651239
2021-04-30,304.28213470396184,483.43789673545444,0.03251515174690949,0.0009242144177450395,0.03252830838643076,0.3912730939315181
2021-05-31,312.94465565016446,495.3764326247262,0.044536071495173,0.0,0.044536071495173,0.5300203412693839
2021-06-30,344.00522888467844,507.9720267888775,0.08036208396705313,0.0018501387604070718,0.08038330001888049,0.9511327883586316
2021-07-31,350.77379463124095,498.58423561119537,0.04270532678431725,0.004616805170821747,0.04295188432401654,0.5164255537661065
2021-08-31,348.7806187275893,513.1314841246831,0.04405437865716843,0.005514705882353033,0.044394454473288325,0.5219368268980427
2021-09-30,359.7898101669918,512.6624425487008,0.03154237600011098,0.000914076782449813,0.03151827103388441,0.38196732558077834
2021-10-31,345.737291885038,501.7920385976645,0.0407950479973153,0.0018298261665141702,0.04098485852626757,0.48932430936809485
2021-11-30,339.57541872167366,504.9998415841336,0.02128004198243935,0.006392694063926951,0.02220786341552276,0.25623959276871994
2021-12-31,328.0047255757148,506.3746142926203,0.018885439297341204,0.0027223230490018846,0.019176804901668277,0.2278776654547224
2022-01-31,322.04194214418715,511.8737051265674,0.04638934288261534,0.010859728506787292,0.04761706111606286,0.5563840949452507
2022-02-28,308.0860999785612,487.32490188784726,0.010401088727138182,0.0008952551477170445,0.010439477733716299,0.1246264336692381
2022-03-31,335.54934808459996,539.531046372681,0.025768851413412487,0.0062611806797854275,0.02617671256745766,0.3091957382599404
2022-04-30,305.72034606810195,494.2991401975124,0.01565876404056489,0.008000000000000007,0.016566995656652397,0.18790534291964406
2022-05-31,311.37473805689507,521.9553716554701,0.06291287281090453,0.0044091710758378255,0.06306583898250014,0.768023148051665
2022-06-30,300.33317748793587,538.9287708037122,0.06587600777978547,0.008779631255487308,0.06586668900026418,0.8043771301101039
2022-07-31,286.2519563251926,530.6622654758863,0.07442069248922738,0.007832898172323688,0.07524833390527935,0.8885104168379645
2022-08-31,303.3845991476825,545.4953528674648,0.055712456602209824,0.0043177892918826455,0.05587809200437959,0.6706275839224984
2022-09-30,291.78632593046575,535.244841170842,0.026471644187279174,0.004299226139294898,0.027646231993269373,0.31902895078981947
2022-10-31,277.9327661503767,540.2856744352936,0.07416872427837126,0.009417808219178259,0.07475324376370932,0.8848229303940576
2022-11-30,279.33098646587706,545.326507699745,0.07513352564538103,0.00932994062765058,0.0757000172984673,0.88998383305142
