"Date","Price","Open","High","Low","Vol.","Change %"
"05/17/2021","34.700","35.450","35.450","34.500","907.60K","-3.07%"
"05/14/2021","35.800","35.250","35.800","34.000","1.51M","2.29%"
"05/12/2021","35.000","35.900","35.900","34.800","541.20K","-2.64%"
"05/11/2021","35.950","34.900","36.100","34.550","1.63M","3.01%"
"05/10/2021","34.900","35.000","35.250","34.850","669.80K","1.45%"
"05/07/2021","34.400","35.050","35.300","34.400","1.53M","-0.86%"
"05/06/2021","34.700","35.500","35.800","34.700","1.13M","-1.70%"
"05/05/2021","35.300","35.650","36.200","35.300","704.00K","-1.26%"
"05/04/2021","35.750","35.800","36.250","35.600","707.10K","0.00%"
"05/03/2021","35.750","36.450","36.450","35.750","676.80K","0.70%"
"04/30/2021","35.500","36.400","36.550","35.500","1.55M","-2.07%"
"04/29/2021","36.250","35.650","36.750","35.650","2.62M","2.55%"
"04/28/2021","35.350","34.800","35.400","34.800","3.57M","3.97%"
"04/27/2021","34.000","34.150","34.850","34.000","1.58M","-0.15%"
"04/26/2021","34.050","34.800","35.100","34.050","1.01M","-2.16%"
"04/23/2021","34.800","34.500","34.800","34.500","1.06M","0.00%"
"04/22/2021","34.800","34.550","35.000","34.000","1.08M","0.87%"
"04/21/2021","34.500","35.500","35.650","34.500","1.61M","-2.27%"
"04/20/2021","35.300","34.800","35.350","34.750","290.50K","1.73%"
"04/19/2021","34.700","35.700","35.700","34.650","686.10K","-0.86%"
"04/16/2021","35.000","35.500","35.850","35.000","874.10K","-2.10%"
"04/15/2021","35.750","35.800","35.800","35.200","1.56M","-0.14%"
"04/14/2021","35.800","35.450","35.800","34.850","988.50K","1.13%"
"04/13/2021","35.400","35.100","35.900","34.700","1.19M","1.14%"
"04/12/2021","35.000","36.200","36.300","35.000","1.89M","-1.41%"
"04/08/2021","35.500","36.250","36.350","35.500","983.10K","-2.07%"
"04/07/2021","36.250","36.350","36.400","35.600","1.27M","0.42%"
"04/06/2021","36.100","35.600","36.250","35.550","1.57M","1.69%"
"04/05/2021","35.500","35.200","35.550","34.500","1.46M","2.90%"
"03/31/2021","34.500","36.000","36.000","34.500","3.04M","-2.27%"
"03/30/2021","35.300","36.400","36.400","35.100","2.36M","-2.89%"
"03/29/2021","36.350","35.000","36.400","35.000","1.22M","2.25%"
"03/26/2021","35.550","35.750","36.050","35.400","1.34M","1.43%"
"03/25/2021","35.050","35.500","36.100","35.050","2.72M","0.14%"
"03/24/2021","35.000","35.750","36.500","34.700","2.73M","-1.82%"
"03/23/2021","35.650","36.250","37.200","35.650","2.86M","-3.65%"
"03/22/2021","37.000","36.000","37.000","35.700","995.40K","2.64%"
"03/19/2021","36.050","37.300","37.300","36.050","2.79M","-3.22%"
"03/18/2021","37.250","36.500","37.300","36.450","2.01M","3.19%"
"03/17/2021","36.100","36.250","36.950","36.050","2.72M","1.40%"
"03/16/2021","35.600","38.150","38.200","35.600","3.96M","-3.50%"
"03/15/2021","36.890","39.037","39.476","36.695","2.37M","-4.30%"
"03/12/2021","38.549","39.867","40.403","38.451","1.61M","-3.63%"
"03/11/2021","40.000","41.500","41.550","40.000","1.45M","-4.76%"
"03/10/2021","42.000","41.050","42.000","40.850","866.70K","2.44%"
"03/09/2021","41.000","42.750","42.750","40.850","985.80K","-2.38%"
"03/08/2021","42.000","42.750","42.750","41.200","657.50K","-1.75%"
"03/05/2021","42.750","42.600","43.200","42.050","1.11M","0.35%"
"03/04/2021","42.600","42.900","42.900","42.100","548.20K","-0.70%"
"03/03/2021","42.900","42.950","43.200","42.300","765.10K","0.82%"
"03/02/2021","42.550","42.850","43.200","42.100","720.10K","1.31%"
"03/01/2021","42.000","42.200","43.100","42.000","875.40K","-0.36%"
"02/26/2021","42.150","43.450","43.450","42.150","2.98M","-2.99%"
"02/24/2021","43.450","43.550","43.550","42.500","731.20K","-0.80%"
"02/23/2021","43.800","43.050","43.800","42.250","676.60K","1.74%"
"02/22/2021","43.050","43.500","43.500","42.550","457.60K","-1.26%"
"02/19/2021","43.600","42.000","43.600","42.000","1.59M","3.81%"
"02/18/2021","42.000","43.000","43.750","42.000","958.70K","-4.22%"
"02/17/2021","43.850","42.850","43.950","42.850","320.90K","-0.34%"
"02/16/2021","44.000","42.300","44.000","42.300","1.76M","4.02%"
"02/15/2021","42.300","43.050","43.150","42.100","887.30K","-1.97%"
"02/11/2021","43.150","44.150","44.150","43.150","1.09M","0.00%"
"02/10/2021","43.150","43.200","44.600","43.150","1.43M","0.00%"
"02/09/2021","43.150","44.000","44.450","43.000","1.18M","-1.93%"
"02/08/2021","44.000","44.750","44.750","43.650","854.50K","-1.79%"
"02/05/2021","44.800","43.450","44.800","42.550","1.00M","2.99%"
"02/04/2021","43.500","42.200","43.500","42.000","857.70K","3.08%"
"02/03/2021","42.200","42.500","43.250","41.250","827.40K","-0.71%"
"02/02/2021","42.500","41.500","43.000","41.500","922.60K","4.17%"
"02/01/2021","40.800","40.050","41.800","40.000","2.46M","2.51%"
"01/29/2021","39.800","42.500","42.900","39.500","3.98M","-5.46%"
"01/28/2021","42.100","42.950","43.500","42.100","1.32M","-2.09%"
"01/27/2021","43.000","43.800","43.800","42.350","1.38M","-1.26%"
"01/26/2021","43.550","43.400","43.550","43.200","873.90K","0.35%"
"01/25/2021","43.400","43.400","43.450","43.300","1.39M","-0.12%"
"01/22/2021","43.450","44.800","44.800","43.250","1.53M","-2.14%"
"01/21/2021","44.400","45.000","45.850","44.400","920.20K","-0.22%"
"01/20/2021","44.500","46.050","46.050","44.500","1.95M","-0.78%"
"01/19/2021","44.850","45.500","46.000","44.800","2.52M","-1.43%"
"01/18/2021","45.500","47.000","47.000","45.350","851.80K","-1.83%"
"01/15/2021","46.350","47.350","47.350","46.150","890.90K","-0.54%"
