"Date","Price","Open","High","Low","Vol.","Change %"
"12/19/2022","2.19","2.20","2.23","2.18","1.41M","-0.45%"
"12/16/2022","2.20","2.25","2.25","2.19","3.15M","0.00%"
"12/15/2022","2.20","2.23","2.26","2.20","3.82M","-0.90%"
"12/14/2022","2.22","2.23","2.26","2.21","1.59M","-0.45%"
"12/13/2022","2.23","2.23","2.26","2.22","779.00K","0.45%"
"12/12/2022","2.22","2.25","2.30","2.22","839.00K","-0.45%"
"12/09/2022","2.23","2.28","2.30","2.23","1.44M","-1.76%"
"12/07/2022","2.27","2.29","2.29","2.27","1.12M","0.00%"
"12/06/2022","2.27","2.28","2.30","2.26","804.00K","-0.44%"
"12/05/2022","2.28","2.25","2.28","2.23","1.86M","-1.30%"
"12/02/2022","2.31","2.31","2.34","2.31","3.12M","0.43%"
"12/01/2022","2.30","2.26","2.31","2.26","2.91M","1.77%"
"11/29/2022","2.26","2.23","2.26","2.22","3.05M","0.89%"
"11/28/2022","2.24","2.22","2.26","2.20","2.05M","0.90%"
"11/25/2022","2.22","2.21","2.24","2.17","1.54M","0.45%"
"11/24/2022","2.21","2.20","2.21","2.14","12.69M","2.79%"
"11/23/2022","2.15","2.16","2.21","2.15","8.85M","0.00%"
"11/22/2022","2.15","2.15","2.20","2.15","3.19M","0.00%"
"11/21/2022","2.15","2.16","2.20","2.15","4.62M","0.00%"
"11/18/2022","2.15","2.15","2.19","2.15","8.59M","0.47%"
"11/17/2022","2.14","2.17","2.18","2.14","3.76M","0.47%"
"11/16/2022","2.13","2.14","2.16","2.13","4.38M","0.95%"
"11/15/2022","2.11","2.16","2.16","2.11","7.74M","-0.47%"
"11/14/2022","2.12","2.14","2.17","2.12","5.49M","0.00%"
"11/11/2022","2.12","2.11","2.15","2.10","3.10M","0.95%"
"11/10/2022","2.10","2.10","2.11","2.09","2.34M","0.48%"
"11/09/2022","2.09","2.13","2.13","2.09","2.61M","-0.95%"
"11/08/2022","2.11","2.10","2.13","2.09","2.01M","0.48%"
"11/07/2022","2.10","2.05","2.10","2.05","1.30M","2.94%"
"11/04/2022","2.04","2.03","2.05","2.01","1.92M","2.00%"
"11/03/2022","2.00","2.04","2.06","2.00","3.15M","-2.91%"
"11/02/2022","2.06","2.02","2.06","2.02","1.29M","3.52%"
"10/28/2022","1.99","1.99","2.03","1.98","19.43M","0.00%"
"10/27/2022","1.99","2.02","2.02","1.98","18.10M","1.02%"
"10/26/2022","1.97","2.12","2.12","1.97","21.52M","-6.19%"
"10/25/2022","2.10","2.20","2.22","2.10","14.17M","-4.55%"
"10/24/2022","2.20","2.20","2.23","2.19","525.00K","0.46%"
