"Date","Price","Open","High","Low","Vol.","Change %"
"01/12/2023","5.78","5.78","5.91","5.77","1.06M","0.17%"
"01/11/2023","5.77","5.92","5.93","5.77","566.30K","-2.53%"
"01/10/2023","5.92","5.92","5.92","5.87","555.90K","0.34%"
"01/09/2023","5.90","5.76","5.90","5.75","471.60K","2.61%"
"01/06/2023","5.75","5.94","5.94","5.73","1.60M","-3.20%"
"01/05/2023","5.94","5.81","5.95","5.81","410.80K","2.24%"
"01/04/2023","5.81","5.95","5.95","5.63","2.14M","-2.19%"
"01/03/2023","5.94","5.86","5.95","5.85","731.00K","1.54%"
"12/29/2022","5.85","5.86","5.88","5.83","649.00K","0.00%"
"12/28/2022","5.85","5.75","5.85","5.72","759.90K","2.09%"
"12/27/2022","5.73","5.79","5.81","5.73","258.20K","-1.04%"
"12/23/2022","5.79","5.83","5.84","5.74","89.00K","-0.17%"
"12/22/2022","5.80","5.78","5.84","5.78","593.10K","0.35%"
"12/21/2022","5.78","5.85","5.85","5.74","231.30K","0.00%"
"12/20/2022","5.78","5.90","5.90","5.60","374.10K","-2.03%"
"12/19/2022","5.90","5.89","5.91","5.76","2.33M","0.17%"
"12/16/2022","5.89","5.90","5.90","5.78","8.22M","0.00%"
"12/15/2022","5.89","5.90","5.90","5.87","3.86M","0.17%"
"12/14/2022","5.88","5.90","5.90","5.81","496.90K","-0.17%"
"12/13/2022","5.89","5.87","5.90","5.80","1.11M","0.34%"
"12/12/2022","5.87","5.81","5.87","5.70","1.35M","1.03%"
"12/09/2022","5.81","5.83","5.84","5.70","751.30K","-0.34%"
"12/07/2022","5.83","5.86","5.86","5.80","1.47M","-0.17%"
"12/06/2022","5.84","5.85","5.85","5.69","1.40M","0.34%"
"12/05/2022","5.82","5.85","5.94","5.75","988.30K","-0.34%"
"12/02/2022","5.84","5.71","5.87","5.71","2.71M","1.74%"
"12/01/2022","5.74","5.75","5.78","5.58","2.20M","-3.53%"
"11/29/2022","5.95","5.40","5.95","5.33","2.83M","12.26%"
"11/28/2022","5.30","5.24","5.50","5.18","1.90M","1.15%"
"11/25/2022","5.24","5.25","5.30","5.19","862.80K","0.38%"
"11/24/2022","5.22","5.27","5.30","5.18","851.40K","0.38%"
"11/23/2022","5.20","5.29","5.29","5.17","603.80K","-0.76%"
"11/22/2022","5.24","5.21","5.30","5.18","904.30K","0.77%"
"11/21/2022","5.20","5.27","5.30","5.17","647.30K","-1.33%"
"11/18/2022","5.27","5.24","5.30","5.24","308.30K","1.35%"
"11/17/2022","5.20","5.25","5.25","5.13","962.90K","-0.95%"
"11/16/2022","5.25","5.21","5.30","5.21","2.88M","0.96%"
"11/15/2022","5.20","5.28","5.28","5.18","1.38M","0.00%"
"11/14/2022","5.20","5.19","5.28","5.19","946.40K","1.36%"
"11/11/2022","5.13","5.15","5.30","5.13","1.55M","0.00%"
"11/10/2022","5.13","5.12","5.15","5.10","3.06M","0.79%"
"11/09/2022","5.09","5.09","5.15","5.07","887.90K","0.79%"
"11/08/2022","5.05","5.09","5.10","5.03","1.23M","0.00%"
"11/07/2022","5.05","5.05","5.09","5.03","1.28M","0.00%"
"11/04/2022","5.05","5.09","5.18","5.05","545.80K","-1.56%"
"11/03/2022","5.13","5.16","5.16","5.04","470.60K","1.38%"
"11/02/2022","5.06","5.05","5.10","5.04","351.60K","0.40%"
"10/28/2022","5.04","5.10","5.17","5.04","603.50K","-0.20%"
"10/27/2022","5.05","5.05","5.15","5.00","455.10K","0.00%"
"10/26/2022","5.05","5.18","5.18","5.05","383.40K","0.00%"
"10/25/2022","5.05","5.18","5.18","5.02","1.12M","-1.56%"
