"Date","Price","Open","High","Low","Vol.","Change %"
"06/16/2021","123.70","123.10","124.20","123.00","1.30M","0.73%"
"06/15/2021","122.80","123.00","123.50","122.00","1.08M","0.00%"
"06/14/2021","122.80","122.10","123.50","122.10","472.47K","0.66%"
"06/11/2021","122.00","122.90","123.80","122.00","932.06K","-0.73%"
"06/10/2021","122.90","124.20","125.90","122.00","643.95K","-0.97%"
"06/09/2021","124.10","124.50","124.80","124.00","1.22M","-0.32%"
"06/08/2021","124.50","124.00","125.00","124.00","103.70K","0.48%"
"06/07/2021","123.90","126.20","127.00","123.40","482.62K","-1.67%"
"06/04/2021","126.00","126.00","126.40","125.10","264.37K","0.00%"
"06/03/2021","126.00","125.00","126.20","123.10","535.98K","1.61%"
"06/02/2021","124.00","121.60","125.50","121.60","1.01M","1.39%"
"06/01/2021","122.30","122.00","123.00","120.50","209.22K","0.25%"
"05/31/2021","122.00","123.00","123.00","121.20","346.51K","-0.81%"
"05/28/2021","123.00","119.50","123.50","119.50","598.65K","4.33%"
"05/27/2021","117.90","123.00","123.50","117.90","2.96M","-3.36%"
"05/26/2021","122.00","118.90","122.90","117.30","930.88K","2.95%"
"05/25/2021","118.50","117.80","118.50","116.50","443.78K","0.59%"
"05/24/2021","117.80","119.00","119.20","115.60","607.48K","-0.67%"
"05/21/2021","118.60","118.00","119.70","117.80","481.77K","0.94%"
"05/20/2021","117.50","116.70","117.80","116.40","344.69K","0.69%"
"05/19/2021","116.70","115.80","117.00","115.80","208.62K","0.86%"
"05/18/2021","115.70","115.00","115.70","114.50","220.95K","0.61%"
"05/17/2021","115.00","115.40","115.50","114.00","323.05K","-0.26%"
"05/14/2021","115.30","116.00","116.00","114.00","579.75K","0.17%"
"05/12/2021","115.10","115.50","115.90","114.80","792.78K","-0.26%"
"05/11/2021","115.40","115.20","116.00","114.70","160.65K","0.35%"
"05/10/2021","115.00","115.50","116.40","113.10","305.94K","0.00%"
"05/07/2021","115.00","114.80","115.00","113.50","171.94K","0.88%"
"05/06/2021","114.00","114.00","114.40","113.60","144.91K","0.88%"
"05/05/2021","113.00","115.00","115.00","112.80","216.28K","-1.74%"
"05/04/2021","115.00","115.00","115.00","113.50","263.38K","0.09%"
"05/03/2021","114.90","115.40","115.90","114.60","203.33K","-0.52%"
"04/30/2021","115.50","115.00","116.30","113.90","637.07K","0.43%"
"04/29/2021","115.00","114.90","115.30","114.70","309.86K","-0.43%"
"04/28/2021","115.50","114.40","115.70","114.00","608.07K","0.96%"
"04/27/2021","114.40","114.40","114.40","113.00","163.70K","0.18%"
