"Date","Price","Open","High","Low","Vol.","Change %"
"05/24/2022","94.50","94.50","96.00","92.00","1.36M","0.00%"
"05/23/2022","94.50","97.05","97.90","94.50","1.69M","-3.57%"
"05/20/2022","98.00","97.00","98.70","95.60","1.45M","2.19%"
"05/19/2022","95.90","95.00","98.40","94.50","2.15M","-1.13%"
"05/18/2022","97.00","92.80","97.45","91.05","3.92M","4.53%"
"05/17/2022","92.80","91.00","92.80","90.00","1.55M","2.43%"
"05/16/2022","90.60","89.20","91.80","89.05","2.07M","1.80%"
"05/13/2022","89.00","92.90","93.40","89.00","3.61M","-3.16%"
"05/12/2022","91.90","94.00","96.25","91.90","3.16M","-3.26%"
"05/11/2022","95.00","93.75","95.00","93.05","1.46M","1.06%"
"05/10/2022","94.00","94.40","94.55","92.90","6.34M","-0.42%"
"05/06/2022","94.40","97.00","97.00","94.40","1.66M","-2.68%"
"05/05/2022","97.00","97.70","97.70","94.80","1.68M","-0.92%"
"05/04/2022","97.90","93.20","97.95","93.20","1.77M","4.26%"
"05/02/2022","93.90","95.00","95.00","93.10","878.24K","-1.05%"
"04/29/2022","94.90","96.95","96.95","94.10","2.08M","-2.11%"
"04/28/2022","96.95","95.70","97.00","92.00","2.25M","0.05%"
"04/27/2022","96.90","97.70","97.95","95.10","1.11M","-0.82%"
"04/26/2022","97.70","98.00","98.85","97.70","1.49M","-0.51%"
"04/25/2022","98.20","98.90","98.90","97.85","1.40M","-0.81%"
"04/22/2022","99.00","100.00","100.00","98.00","840.29K","-1.00%"
"04/21/2022","100.00","99.80","100.50","99.40","4.96M","0.20%"
"04/20/2022","99.80","99.85","99.95","99.25","3.24M","0.00%"
"04/19/2022","99.80","97.90","99.85","97.90","1.33M","1.84%"
"04/18/2022","98.00","98.10","98.20","97.80","1.65M","-0.51%"
"04/13/2022","98.50","98.00","99.00","98.00","2.82M","0.51%"
"04/12/2022","98.00","100.00","104.00","98.00","3.70M","-2.00%"
"04/11/2022","100.00","98.50","100.00","97.35","2.61M","1.52%"
"04/08/2022","98.50","98.30","98.80","96.65","1.63M","2.07%"
"04/07/2022","96.50","98.40","98.95","96.50","1.95M","-1.63%"
"04/06/2022","98.10","99.10","99.15","98.00","1.93M","-1.11%"
"04/05/2022","99.20","99.00","99.45","98.85","648.31K","0.20%"
"04/04/2022","99.00","98.55","99.80","98.55","1.10M","0.10%"
"04/01/2022","98.90","99.00","99.45","98.55","921.68K","-0.70%"
"03/31/2022","99.60","98.90","99.95","98.60","1.93M","1.12%"
"03/30/2022","98.50","99.00","99.95","98.50","1.02M","-1.50%"
"03/29/2022","100.00","99.50","100.00","98.75","976.79K","0.00%"
"03/28/2022","100.00","99.00","100.00","98.45","1.13M","0.10%"
"03/25/2022","99.90","99.45","99.90","98.40","895.64K","0.91%"
"03/24/2022","99.00","98.90","99.40","98.35","1.19M","0.05%"
"03/23/2022","98.95","98.00","98.95","97.90","827.41K","-0.05%"
"03/22/2022","99.00","95.05","99.00","95.05","1.26M","1.28%"
"03/21/2022","97.75","98.00","98.80","95.50","1.08M","-0.05%"
"03/18/2022","97.80","99.75","99.80","97.80","4.14M","-2.10%"
"03/17/2022","99.90","97.50","100.00","97.50","3.71M","5.16%"
